Source_GDP,Source_Country
26505,Argentina
62625,Australia
67936,Austria
65027,Belgium
17822,Brazil
58400,Canada
21476,China
40380,Croatia
49946,Czech Republic
74005,Denmark
22834,Dominican Republic
54603,United Kingdom
55493,France
63150,Germany
51865,Italy
39956,Latvia
234316,Monaco
69577,Netherlands
43269,Poland
41888,Romania
36485,Russia
23911,Serbia
37459,Slovakia
15905,South Africa
45825,Spain
64578,Sweden
12671,Ukraine
54603,United Kingdom
65281,United States
9533,Uzbekistan
